en,meaning_en,meaning_ja,meaning_zh,meaning_fr,meaning_de,meaning_es,meaning_it,meaning_pt,meaning_ru,meaning_ar,meaning_hi
almond,"An oval edible seed from a tree.","アーモンド; 木からの楕円形の食用種子。","杏仁; 来自树的椭圆形可食种子。","Amande; graine comestible ovale d'un arbre.","Mandel; ovaler essbarer Samen eines Baumes.","Almendra; semilla comestible ovalada de un árbol.","Mandorla; seme commestibile ovale di un albero.","Amêndoa; semente comestível oval de uma árvore.","Миндаль; овальное съедобное семя дерева.","لوز; بذرة بيضاوية صالحة للأكل من شجرة.","बादाम; पेड़ का अंडाकार खाने योग्य बीज।"
alpaca,"South American mammal related to llama.","アルパカ; ラマに関連する南アメリカの哺乳動物。","羊驼; 与美洲驼相关的南美哺乳动物。","Alpaga; mammifère sud-américain apparenté au lama.","Alpaka; südamerikanisches Säugetier verwandt mit dem Lama.","Alpaca; mamífero sudamericano relacionado con la llama.","Alpaca; mammifero sudamericano imparentato con il lama.","Alpaca; mamífero sul-americano relacionado com a lhama.","Альпака; южноамериканское млекопитающее, родственное ламе.","ألبكة; حيوان ثديي من أمريكا الجنوبية مرتبط باللاما.","अल्पाका; लामा से संबंधित दक्षिण अमेरिकी स्तनधारी।"
alpha,"First letter of Greek alphabet; dominant individual.","アルファ; ギリシャ文字の最初の文字; 支配的な個体。","阿尔法; 希腊字母的第一个字母; 占主导地位的个体。","Alpha; première lettre de l'alphabet grec; individu dominant.","Alpha; erster Buchstabe des griechischen Alphabets; dominantes Individuum.","Alfa; primera letra del alfabeto griego; individuo dominante.","Alfa; prima lettera dell'alfabeto greco; individuo dominante.","Alfa; primeira letra do alfabeto grego; indivíduo dominante.","Альфа; первая буква греческого алфавита; доминирующая особь.","ألفا; الحرف الأول من الأبجدية اليونانية; فرد مهيمن.","अल्फा; ग्रीक वर्णमाला का पहला अक्षर; प्रभावशाली व्यक्ति।"
alphabet,"A set of letters used to represent the basic sounds of a language.","アルファベット; 言語の基本音を表すために使用される文字のセット。","字母表; 用于表示语言基本音的字母集合。","Alphabet; ensemble de lettres utilisées pour représenter les sons de base d'une langue.","Alphabet; Satz von Buchstaben zur Darstellung der Grundlaute einer Sprache.","Alfabeto; conjunto de letras usadas para representar los sonidos básicos de un idioma.","Alfabeto; insieme di lettere usate per rappresentare i suoni di base di una lingua.","Alfabeto; conjunto de letras usadas para representar os sons básicos de uma língua.","Алфавит; набор букв, используемых для представления основных звуков языка.","أبجدية; مجموعة من الحروف المستخدمة لتمثيل الأصوات الأساسية للغة.","वर्णमाला; भाषा की मूल ध्वनियों को दर्शाने के लिए प्रयुक्त अक्षरों का समूह।"
alternative,"Option; choice; substitute; different.","代替; オプション; 選択; 代替; 異なる。","替代; 选择; 选择; 替代; 不同的。","Alternative; option; choix; substitut; différent.","Alternative; Option; Wahl; Ersatz; anders.","Alternativa; opción; elección; sustituto; diferente.","Alternativa; opzione; scelta; sostituto; diverso.","Alternativa; opção; escolha; substituto; diferente.","Альтернатива; вариант; выбор; замена; другой.","بديل; خيار; اختيار; بديل; مختلف.","विकल्प; विकल्प; चुनाव; विकल्प; अलग।"
altitude,"Height above sea level.","高度; 海抜の高さ。","高度; 海拔高度。","Altitude; hauteur au-dessus du niveau de la mer.","Höhe; Höhe über dem Meeresspiegel.","Altitud; altura sobre el nivel del mar.","Altitudine; altezza sopra il livello del mare.","Altitude; altura acima do nível do mar.","Высота; высота над уровнем моря.","ارتفاع; الارتفاع فوق مستوى سطح البحر.","ऊंचाई; समुद्र तल से ऊंचाई।"
alto,"The lowest female singing voice.","アルト; 最も低い女性の歌声。","中音; 最低的女性歌声。","Alto; la voix féminine la plus grave.","Alt; die tiefste weibliche Singstimme.","Alto; la voz femenina más grave.","Contralto; la voce femminile più grave.","Contralto; a voz feminina mais grave.","Альт; самый низкий женский певческий голос.","ألتو; أقل صوت غناء نسائي.","अल्टो; सबसे कम महिला गायन स्वर।"
altogether,"Completely; in total.","全体で; 完全に; 合計で。","总计; 完全地; 总共。","Entièrement; complètement; au total.","Insgesamt; vollständig; in Summe.","En total; completamente; en suma.","Complessivamente; completamente; in totale.","No total; completamente; em soma.","В целом; полностью; в сумме.","إجمالاً; تماماً; في المجموع.","कुल मिलाकर; पूरी तरह; कुल में।"
amateur,"Person who does activity for pleasure not money.","アマチュア; お金のためではなく楽しみのために活動する人。","业余爱好者; 为了乐趣而非金钱从事活动的人。","Amateur; personne qui pratique une activité par plaisir et non pour l'argent.","Amateur; Person, die eine Aktivität zum Vergnügen und nicht für Geld ausübt.","Aficionado; persona que realiza una actividad por placer, no por dinero.","Dilettante; persona che svolge un'attività per piacere, non per denaro.","Amador; pessoa que faz atividade por prazer, não por dinheiro.","Любитель; человек, занимающийся деятельностью ради удовольствия, а не денег.","هاوٍ; شخص يمارس نشاطاً من أجل المتعة وليس المال.","शौकिया; व्यक्ति जो पैसे के लिए नहीं बल्कि खुशी के लिए गतिविधि करता है।"
amber,"Fossilized tree resin.","琥珀; 化石化した樹脂。","琥珀; 化石化的树脂。","Ambre; résine d'arbre fossilisée.","Bernstein; versteinertes Baumharz.","Ámbar; resina de árbol fosilizada.","Ambra; resina di albero fossilizzata.","Âmbar; resina de árvore fossilizada.","Янтарь; окаменевшая древесная смола.","كهرمان; راتنج شجرة متحجر.","अंबर; जीवाश्म वृक्ष राल।"
ambiguity,"Uncertainty of meaning.","曖昧性; 意味の不確実性。","歧义; 意义的不确定性。","Ambiguïté; incertitude du sens.","Zweideutigkeit; Unsicherheit der Bedeutung.","Ambigüedad; incertidumbre de significado.","Ambiguità; incertezza di significato.","Ambiguidade; incerteza de significado.","Двусмысленность; неопределённость значения.","غموض; عدم يقين في المعنى.","अस्पष्टता; अर्थ की अनिश्चितता।"
ambition,"Goal; drive; aspiration; desire.","野心; 目標; 推進力; 願望; 欲望。","野心; 目标; 动力; 志向; 欲望。","Ambition; objectif; motivation; aspiration; désir.","Ehrgeiz; Ziel; Antrieb; Bestreben; Wunsch.","Ambición; meta; impulso; aspiración; deseo.","Ambizione; obiettivo; spinta; aspirazione; desiderio.","Ambição; meta; impulso; aspiração; desejo.","Амбиция; цель; стремление; желание; намерение.","طموح; هدف; دافع; تطلع; رغبة.","महत्वाकांक्षा; लक्ष्य; प्रेरणा; आकांक्षा; इच्छा।"
amendment,"Change; modification; correction; revision.","修正; 変更; 修正; 修正; 改訂。","修正; 变更; 修改; 修正; 修订。","Amendement; changement; modification; correction; révision.","Änderung; Veränderung; Modifikation; Korrektur; Revision.","Enmienda; cambio; modificación; corrección; revisión.","Emendamento; cambiamento; modifica; correzione; revisione.","Emenda; mudança; modificação; correção; revisão.","Поправка; изменение; модификация; исправление; пересмотр.","تعديل; تغيير; تعديل; تصحيح; مراجعة.","संशोधन; परिवर्तन; संशोधन; सुधार; संशोधन।"
america,"Continent or commonly United States.","アメリカ; 大陸または一般的にアメリカ合衆国。","美洲; 大陆或通常指美国。","Amérique; continent ou communément États-Unis.","Amerika; Kontinent oder allgemein die Vereinigten Staaten.","América; continente o comúnmente Estados Unidos.","America; continente o comunemente Stati Uniti.","América; continente ou comumente Estados Unidos.","Америка; континент или обычно Соединённые Штаты.","أمريكا; القارة أو عادة الولايات المتحدة.","अमेरिका; महाद्वीप या आमतौर पर संयुक्त राज्य अमेरिका।"
american,"Relating to or characteristic of America or Americans.","アメリカ人; アメリカまたはアメリカ人に関連するか特徴的な。","美国人; 与美洲或美国人相关或特征的。","Américain; relatif à l'Amérique ou aux Américains ou caractéristique de ceux-ci.","Amerikaner; bezogen auf oder charakteristisch für Amerika oder Amerikaner.","Americano; relativo a América o los americanos o característico de ellos.","Americano; relativo all'America o agli americani o caratteristico di essi.","Americano; relativo à América ou aos americanos ou característico deles.","Американец; относящийся к Америке или американцам или характерный для них.","أمريكي; متعلق بأمريكا أو الأمريكيين أو مميز لهم.","अमेरिकी; अमेरिका या अमेरिकियों से संबंधित या उनकी विशेषता।"
amethyst,"Purple variety of quartz gemstone.","アメジスト; 石英の宝石の紫色の品種。","紫水晶; 石英宝石的紫色品种。","Améthyste; variété violette de pierre précieuse de quartz.","Amethyst; violette Varietät des Quarz-Edelsteins.","Amatista; variedad púrpura de gema de cuarzo.","Ametista; varietà viola della gemma di quarzo.","Ametista; variedade roxa da gema de quartzo.","Аметист; фиолетовая разновидность кварцевого драгоценного камня.","جمشت; نوع أرجواني من حجر كريم الكوارتز.","नीलम; क्वार्ट्ज रत्न की बैंगनी किस्म।"
ammunition,"Bullets and shells for weapons.","弾薬; 武器用の銃弾と砲弾。","弹药; 用于武器的子弹和炮弹。","Munitions; balles et obus pour armes.","Munition; Kugeln und Granaten für Waffen.","Munición; balas y proyectiles para armas.","Munizioni; proiettili e granate per armi.","Munição; balas e projéteis para armas.","Боеприпасы; пули и снаряды для оружия.","ذخيرة; رصاص وقذائف للأسلحة.","गोला-बारूद; हथियारों के लिए गोलियां और गोले।"
amnesty,"An official pardon for people who have committed crimes.","大赦; 犯罪を犯した人々への公式な恩赦。","大赦; 对犯罪的人的正式赦免。","Amnistie; pardon officiel pour les personnes qui ont commis des crimes.","Amnestie; offizielle Begnadigung für Personen, die Verbrechen begangen haben.","Amnistía; perdón oficial para personas que han cometido crímenes.","Amnistia; perdono ufficiale per persone che hanno commesso crimini.","Anistia; perdão oficial para pessoas que cometeram crimes.","Амнистия; официальное прощение людей, совершивших преступления.","عفو; مغفرة رسمية للأشخاص الذين ارتكبوا جرائم.","माफी; अपराध करने वाले लोगों के लिए आधिकारिक क्षमा।"
amount,"Quantity; sum; total; volume.","量; 数量; 合計; 総計; 量。","数量; 数量; 总数; 总计; 体积。","Montant; quantité; somme; total; volume.","Menge; Quantität; Summe; Gesamtsumme; Volumen.","Cantidad; cantidad; suma; total; volumen.","Importo; quantità; somma; totale; volume.","Quantia; quantidade; soma; total; volume.","Количество; сумма; итог; общее количество; объём.","مقدار; كمية; مجموع; إجمالي; حجم.","राशि; मात्रा; योग; कुल; आयतन।"
ampere,"Unit of electric current; electrical measurement; amp.","アンペア; 電流の単位; 電気測定; アンプ。","安培; 电流单位; 电气测量; 安培。","Ampère; unité de courant électrique; mesure électrique; amp.","Ampere; Einheit des elektrischen Stroms; elektrische Messung; Amp.","Amperio; unidad de corriente eléctrica; medición eléctrica; ampio.","Ampere; unità di corrente elettrica; misurazione elettrica; amp.","Ampère; unidade de corrente elétrica; medição elétrica; amp.","Ампер; единица электрического тока; электрическое измерение; амп.","أمبير; وحدة التيار الكهربائي; قياس كهربائي; أمب.","एम्पीयर; विद्युत धारा की इकाई; विद्युत माप; एम्प।"
amplitude,"The maximum extent of vibration.","振幅; 振動の最大範囲。","振幅; 振动的最大范围。","Amplitude; étendue maximale de vibration.","Amplitude; maximale Schwingungsweite.","Amplitud; extensión máxima de vibración.","Ampiezza; estensione massima di vibrazione.","Amplitude; extensão máxima de vibração.","Амплитуда; максимальная степень вибрации.","سعة; الحد الأقصى لمدى الاهتزاز.","आयाम; कंपन की अधिकतम सीमा।"
amusement,"Entertainment or pleasure.","娯楽; エンターテインメントまたは喜び。","娱乐; 娱乐或快乐。","Divertissement; divertissement ou plaisir.","Vergnügen; Unterhaltung oder Freude.","Diversión; entretenimiento o placer.","Divertimento; intrattenimento o piacere.","Diversão; entretenimento ou prazer.","Развлечение; развлечение или удовольствие.","تسلية; ترفيه أو متعة.","मनोरंजन; मनोरंजन या आनंद।"
anagram,"Word formed by rearranging letters; letter puzzle; word game.","アナグラム; 文字を並べ替えて作られた単語; 文字パズル; 単語ゲーム。","字谜; 通过重新排列字母形成的单词; 字母谜题; 单词游戏。","Anagramme; mot formé en réarrangeant des lettres; puzzle de lettres; jeu de mots.","Anagramm; Wort, das durch Umstellung von Buchstaben gebildet wird; Buchstaben-Puzzle; Wortspiel.","Anagrama; palabra formada reordenando letras; rompecabezas de letras; juego de palabras.","Anagramma; parola formata riordinando lettere; puzzle di lettere; gioco di parole.","Anagrama; palavra formada reordenando letras; quebra-cabeças de letras; jogo de palavras.","Анаграмма; слово, образованное перестановкой букв; головоломка с буквами; словесная игра.","جناس; كلمة مكونة من إعادة ترتيب الحروف; لغز حروف; لعبة كلمات.","वर्णविपर्यय; अक्षरों को पुनर्व्यवस्थित करके बना शब्द; अक्षर पहेली; शब्द खेल।"
analogy,"A comparison between similar things.","類推; 類似したものの間の比較。","类比; 相似事物之间的比较。","Analogie; comparaison entre des choses similaires.","Analogie; Vergleich zwischen ähnlichen Dingen.","Analogía; comparación entre cosas similares.","Analogia; confronto tra cose simili.","Analogia; comparação entre coisas similares.","Аналогия; сравнение между похожими вещами.","تشبيه; مقارنة بين أشياء متشابهة.","सादृश्य; समान चीजों के बीच तुलना।"
analysis,"Examination; study; breakdown; investigation.","分析; 検査; 研究; 分解; 調査。","分析; 检查; 研究; 分解; 调查。","Analyse; examen; étude; décomposition; enquête.","Analyse; Untersuchung; Studie; Aufschlüsselung; Ermittlung.","Análisis; examen; estudio; descomposición; investigación.","Analisi; esame; studio; scomposizione; indagine.","Análise; exame; estudo; decomposição; investigação.","Анализ; исследование; изучение; разложение; расследование.","تحليل; فحص; دراسة; تفكيك; تحقيق.","विश्लेषण; परीक्षा; अध्ययन; विघटन; जांच।"
anarchy,"Absence of government or order.","無政府状態; 政府や秩序の不在。","无政府状态; 缺乏政府或秩序。","Anarchie; absence de gouvernement ou d'ordre.","Anarchie; Abwesenheit von Regierung oder Ordnung.","Anarquía; ausencia de gobierno u orden.","Anarchia; assenza di governo o ordine.","Anarquia; ausência de governo ou ordem.","Анархия; отсутствие правительства или порядка.","فوضى; غياب الحكومة أو النظام.","अराजकता; सरकार या व्यवस्था की अनुपस्थिति।"
anatomy,"The study of body structure.","解剖学; 身体構造の研究。","解剖学; 身体结构的研究。","Anatomie; étude de la structure du corps.","Anatomie; Studium der Körperstruktur.","Anatomía; estudio de la estructura corporal.","Anatomia; studio della struttura del corpo.","Anatomia; estudo da estrutura corporal.","Анатомия; изучение структуры тела.","تشريح; دراسة بنية الجسم.","शरीर रचना विज्ञान; शरीर की संरचना का अध्ययन।"
ancestor,"A person from whom one is descended.","祖先; その人から下降した人。","祖先; 某人的后代来源。","Ancêtre; personne dont on descend.","Vorfahre; Person, von der man abstammt.","Ancestro; persona de la que se desciende.","Antenato; persona da cui si discende.","Ancestral; pessoa de quem se descende.","Предок; человек, от которого происходят.","سلف; شخص يُنحدر منه.","पूर्वज; व्यक्ति जिससे कोई वंश चला है।"
ancient,"Antiquity; very old times or things; belonging to the distant past.","古代; 古代; 非常に古い時代や物; 遠い過去に属する。","古代; 古代; 非常古老的时代或事物; 属于遥远的过去。","Antiquité; temps très anciens ou choses; appartenant au passé lointain.","Antike; sehr alte Zeiten oder Dinge; zur fernen Vergangenheit gehörend.","Antigüedad; tiempos o cosas muy antiguos; pertenecientes al pasado distante.","Antichità; tempi o cose molto antiche; appartenenti al passato lontano.","Antiguidade; tempos ou coisas muito antigas; pertencentes ao passado distante.","Древность; очень старые времена или вещи; принадлежащие далёкому прошлому.","عصر قديم; أزمنة أو أشياء قديمة جداً; تنتمي للماضي البعيد.","प्राचीनता; बहुत पुराने समय या चीजें; दूर के अतीत से संबंधित।"
angel,"A spiritual being in religious belief.","天使; 宗教的信念における霊的存在。","天使; 宗教信仰中的精神存在。","Ange; être spirituel dans la croyance religieuse.","Engel; spirituelles Wesen im religiösen Glauben.","Ángel; ser espiritual en la creencia religiosa.","Angelo; essere spirituale nella credenza religiosa.","Anjo; ser espiritual na crença religiosa.","Ангел; духовное существо в религиозной вере.","ملاك; كائن روحي في المعتقد الديني.","देवदूत; धार्मिक मान्यता में आध्यात्मिक सत्ता।"
anger,"Rage; fury; wrath; irritation.","怒り; 激怒; 激怒; 怒り; 苛立ち。","愤怒; 激怒; 愤怒; 愤怒; 恼怒。","Colère; rage; fureur; colère; irritation.","Wut; Zorn; Wut; Zorn; Verärgerung.","Ira; rabia; furia; ira; irritación.","Rabbia; collera; furia; rabbia; irritazione.","Raiva; ira; fúria; raiva; irritação.","Гнев; ярость; бешенство; гнев; раздражение.","غضب; غضب; غضب شديد; غضب; انزعاج.","क्रोध; गुस्सा; गुस्सा; क्रोध; चिड़चिड़ाहट।"
angle,"Corner; viewpoint; perspective; degree.","角度; 角; 観点; 視点; 度。","角度; 角; 观点; 视角; 度。","Angle; coin; point de vue; perspective; degré.","Winkel; Ecke; Blickwinkel; Perspektive; Grad.","Ángulo; esquina; punto de vista; perspectiva; grado.","Angolo; angolo; punto di vista; prospettiva; grado.","Ângulo; canto; ponto de vista; perspectiva; grau.","Угол; угол; точка зрения; перспектива; степень.","زاوية; ركن; وجهة نظر; منظور; درجة.","कोण; कोना; दृष्टिकोण; दृष्टिकोण; डिग्री।"
animal,"Creature; beast; living being; organism.","動物; 生き物; 獣; 生物; 有機体。","动物; 生物; 野兽; 生物; 有机体。","Animal; créature; bête; être vivant; organisme.","Tier; Geschöpf; Tier; Lebewesen; Organismus.","Animal; criatura; bestia; ser vivo; organismo.","Animale; creatura; bestia; essere vivente; organismo.","Animal; criatura; besta; ser vivo; organismo.","Животное; существо; зверь; живое существо; организм.","حيوان; كائن; وحش; كائن حي; كائن عضوي.","पशु; प्राणी; जानवर; जीवित प्राणी; जीव।"
animation,"The technique of making drawings appear to move.","アニメーション; 図面を動いているように見せる技術。","动画; 让图画看起来移动的技术。","Animation; technique pour faire paraître les dessins en mouvement.","Animation; Technik, um Zeichnungen bewegt erscheinen zu lassen.","Animación; técnica para hacer que los dibujos parezcan moverse.","Animazione; tecnica per far sembrare i disegni in movimento.","Animação; técnica para fazer desenhos parecerem se mover.","Анимация; техника заставления рисунков казаться движущимися.","رسوم متحركة; تقنية جعل الرسوم تبدو وكأنها تتحرك.","एनीमेशन; चित्रों को हिलते हुए दिखाने की तकनीक।"
ankle,"The joint between foot and leg.","足首; 足と脚の間の関節。","脚踝; 脚和腿之间的关节。","Cheville; articulation entre le pied et la jambe.","Knöchel; Gelenk zwischen Fuß und Bein.","Tobillo; articulación entre el pie y la pierna.","Caviglia; articolazione tra piede e gamba.","Tornozelo; articulação entre o pé e a perna.","Лодыжка; сустав между стопой и ногой.","كاحل; المفصل بين القدم والساق.","टखना; पैर और पांव के बीच का जोड़।"
anniversary,"Yearly celebration; commemoration; remembrance; milestone.","記念日; 毎年の祝い; 記念; 記憶; マイルストーン。","周年纪念; 年度庆祝; 纪念; 纪念; 里程碑。","Anniversaire; célébration annuelle; commémoration; souvenir; jalon.","Jahrestag; jährliche Feier; Gedenken; Erinnerung; Meilenstein.","Aniversario; celebración anual; conmemoración; recuerdo; hito.","Anniversario; celebrazione annuale; commemorazione; ricordo; pietra miliare.","Aniversário; celebração anual; comemoração; lembrança; marco.","Годовщина; ежегодное празднование; поминание; воспоминание; веха.","ذكرى سنوية; احتفال سنوي; إحياء ذكرى; ذكرى; معلم.","वर्षगांठ; वार्षिक उत्सव; स्मरण; याद; मील का पत्थर।"
announcement,"Declaration; notice; statement; proclamation.","発表; 宣言; 通知; 声明; 宣言。","公告; 声明; 通知; 声明; 宣告。","Annonce; déclaration; avis; déclaration; proclamation.","Ankündigung; Erklärung; Mitteilung; Erklärung; Proklamation.","Anuncio; declaración; aviso; declaración; proclamación.","Annuncio; dichiarazione; avviso; dichiarazione; proclamazione.","Anúncio; declaração; aviso; declaração; proclamação.","Объявление; заявление; уведомление; заявление; провозглашение.","إعلان; بيان; إشعار; بيان; إعلان.","घोषणा; घोषणा; सूचना; वक्तव्य; उद्घोषणा।"
announcer,"Person who announces; broadcaster; presenter; host.","アナウンサー; 発表する人; 放送者; プレゼンター; ホスト。","播音员; 宣布的人; 广播员; 主持人; 主持。","Présentateur; personne qui annonce; diffuseur; présentateur; animateur.","Ansager; Person, die ankündigt; Rundfunksprecher; Moderator; Gastgeber.","Locutor; persona que anuncia; radiodifusor; presentador; anfitrión.","Annunciatore; persona che annuncia; conduttore; presentatore; ospite.","Locutor; pessoa que anuncia; locutor; apresentador; anfitrião.","Диктор; человек, который объявляет; ведущий; презентер; хозяин.","معلن; شخص يعلن; مذيع; مقدم; مضيف.","उद्घोषक; घोषणा करने वाला व्यक्ति; प्रसारक; प्रस्तुतकर्ता; मेजबान।"
annoyance,"The feeling of being irritated.","迷惑; いらいらする感じ。","恼怒; 被激怒的感觉。","Agacement; sentiment d'être irrité.","Ärger; Gefühl der Gereiztheit.","Molestia; sentimiento de estar irritado.","Fastidio; sensazione di essere irritato.","Aborrecimento; sentimento de estar irritado.","Раздражение; чувство раздражённости.","إزعاج; شعور بالانزعاج.","कष्ट; चिढ़ने की भावना।"
answer,"Reply; response; solution; reaction.","答え; 返事; 応答; 解決策; 反応。","答案; 回复; 回应; 解决方案; 反应。","Réponse; réponse; réaction; solution; réaction.","Antwort; Antwort; Antwort; Lösung; Reaktion.","Respuesta; respuesta; respuesta; solución; reacción.","Risposta; risposta; risposta; soluzione; reazione.","Resposta; resposta; resposta; solução; reação.","Ответ; ответ; реакция; решение; реакция.","جواب; رد; استجابة; حل; رد فعل.","उत्तर; जवाब; प्रतिक्रिया; समाधान; प्रतिक्रिया।"
ant,"Small insect; colony insect; hardworking insect; social insect.","アリ; 小さな昆虫; コロニー昆虫; 勤勉な昆虫; 社会的昆虫。","蚂蚁; 小昆虫; 群体昆虫; 勤劳的昆虫; 社会性昆虫。","Fourmi; petit insecte; insecte de colonie; insecte travailleur; insecte social.","Ameise; kleines Insekt; Kolonien-Insekt; fleißiges Insekt; soziales Insekt.","Hormiga; insecto pequeño; insecto de colonia; insecto trabajador; insecto social.","Formica; piccolo insetto; insetto di colonia; insetto laborioso; insetto sociale.","Formiga; inseto pequeno; inseto de colônia; inseto trabalhador; inseto social.","Муравей; маленькое насекомое; колониальное насекомое; трудолюбивое насекомое; социальное насекомое.","نملة; حشرة صغيرة; حشرة مستعمرة; حشرة مجتهدة; حشرة اجتماعية.","चींटी; छोटा कीड़ा; उपनिवेश कीट; मेहनती कीड़ा; सामाजिक कीड़ा।"
antarctic,"South polar region; frozen continent; coldest place; southern ice.","南極; 南極地域; 凍結大陸; 最も寒い場所; 南の氷。","南极; 南极地区; 冰冻大陆; 最寒冷的地方; 南方冰层。","Antarctique; région polaire sud; continent gelé; endroit le plus froid; glace du sud.","Antarktis; südpolare Region; gefrorener Kontinent; kältester Ort; südliches Eis.","Antártico; región polar sur; continente congelado; lugar más frío; hielo del sur.","Antartico; regione polare sud; continente ghiacciato; luogo più freddo; ghiaccio del sud.","Antártico; região polar sul; continente congelado; lugar mais frio; gelo do sul.","Антарктика; южная полярная область; замёрзший континент; самое холодное место; южный лёд.","قطب جنوبي; منطقة قطبية جنوبية; قارة متجمدة; أبرد مكان; جليد جنوبي.","अंटार्कटिक; दक्षिणी ध्रुवीय क्षेत्र; जमी हुई महाद्वीप; सबसे ठंडी जगह; दक्षिणी बर्फ।"
antelope,"Swift horned animal; African mammal; graceful runner; deer-like animal.","アンテロープ; 迅速な角のある動物; アフリカの哺乳動物; 優雅な走者; 鹿に似た動物。","羚羊; 快速有角动物; 非洲哺乳动物; 优雅的奔跑者; 类似鹿的动物。","Antilope; animal cornu rapide; mammifère africain; coureur gracieux; animal ressemblant au cerf.","Antilope; schnelles gehörntes Tier; afrikanisches Säugetier; anmutiger Läufer; hirschähnliches Tier.","Antílope; animal cornudo veloz; mamífero africano; corredor elegante; animal parecido al ciervo.","Antilope; animale cornuto veloce; mammifero africano; corridore grazioso; animale simile al cervo.","Antílope; animal cornudo veloz; mamífero africano; corredor gracioso; animal semelhante ao veado.","Антилопа; быстрое рогатое животное; африканское млекопитающее; грациозный бегун; оленеподобное животное.","ظبي; حيوان مقرن سريع; حيوان ثديي أفريقي; عداء رشيق; حيوان شبيه بالغزال.","मृग; तेज़ सींग वाला जानवर; अफ्रीकी स्तनधारी; सुंदर धावक; हिरण जैसा जानवर।"
anthem,"A rousing song identified with a particular group or cause.","国歌; 特定のグループや大義と同一視される鼓舞する歌。","国歌; 与特定群体或事业认同的鼓舞人心的歌曲。","Hymne; chanson entraînante identifiée à un groupe particulier ou une cause.","Hymne; mitreißendes Lied, das mit einer bestimmten Gruppe oder Sache identifiziert wird.","Himno; canción inspiradora identificada con un grupo particular o causa.","Inno; canzone trascinante identificata con un gruppo particolare o una causa.","Hino; canção inspiradora identificada com um grupo particular ou causa.","Гимн; воодушевляющая песня, ассоциируемая с определённой группой или делом.","نشيد; أغنية مثيرة مرتبطة بمجموعة معينة أو قضية.","राष्ट्रगान; विशेष समूह या उद्देश्य से जुड़ा प्रेरणादायक गीत।"
anthropology,"The study of humankind.","人類学; 人類の研究。","人类学; 对人类的研究。","Anthropologie; étude de l'humanité.","Anthropologie; Studium der Menschheit.","Antropología; estudio de la humanidad.","Antropologia; studio dell'umanità.","Antropologia; estudo da humanidade.","Антропология; изучение человечества.","علم الإنسان; دراسة البشر.","मानव विज्ञान; मानवता का अध्ययन।"
antibiotic,"A medicine that inhibits the growth of bacteria.","抗生物質; 細菌の成長を阻害する薬。","抗生素; 抑制细菌生长的药物。","Antibiotique; médicament qui inhibe la croissance des bactéries.","Antibiotikum; Medikament, das das Wachstum von Bakterien hemmt.","Antibiótico; medicina que inhibe el crecimiento de bacterias.","Antibiotico; medicina che inibisce la crescita dei batteri.","Antibiótico; medicamento que inibe o crescimento de bactérias.","Антибиотик; лекарство, подавляющее рост бактерий.","مضاد حيوي; دواء يثبط نمو البكتيريا.","एंटीबायोटिक; दवा जो बैक्टीरिया की वृद्धि को रोकती है।"
antibody,"A blood protein produced to counteract antigens.","抗体; 抗原に対抗するために産生される血液タンパク質。","抗体; 产生以对抗抗原的血液蛋白。","Anticorps; protéine sanguine produite pour contrer les antigènes.","Antikörper; Blutprotein, das zur Bekämpfung von Antigenen produziert wird.","Anticuerpo; proteína sanguínea producida para contrarrestar antígenos.","Anticorpo; proteina del sangue prodotta per contrastare gli antigeni.","Anticorpo; proteína sanguínea produzida para combater antígenos.","Антитело; белок крови, вырабатываемый для противодействия антигенам.","جسم مضاد; بروتين دموي يُنتج لمواجهة المستضدات.","प्रतिरक्षी; रक्त प्रोटीन जो एंटीजन का मुकाबला करने के लिए बनता है।"
anticipation,"The emotion of looking forward to something.","期待; 何かを楽しみにする感情。","期待; 盼望某事的情感。","Anticipation; émotion d'attendre quelque chose avec impatience.","Vorfreude; Gefühl, sich auf etwas zu freuen.","Anticipación; emoción de esperar algo con ansias.","Attesa; emozione di aspettare qualcosa con impazienza.","Antecipação; emoção de aguardar algo ansiosamente.","Предвкушение; эмоция ожидания чего-либо.","ترقب; عاطفة التطلع لشيء ما.","प्रत्याशा; किसी चीज़ की प्रतीक्षा की भावना।"
antidote,"A medicine to counteract poison.","解毒剤; 毒に対抗する薬。","解毒剂; 对抗毒物的药物。","Antidote; médicament pour contrer le poison.","Gegengift; Medikament gegen Gift.","Antídoto; medicina para contrarrestar el veneno.","Antidoto; medicina per contrastare il veleno.","Antídoto; medicina para combater veneno.","Противоядие; лекарство против яда.","مضاد سم; دواء لمواجهة السم.","विषनाशक; जहर का मुकाबला करने की दवा।"
antique,"A valuable old object.","アンティーク; 価値のある古い物。","古董; 有价值的古老物品。","Antiquité; objet ancien de valeur.","Antiquität; wertvoller alter Gegenstand.","Antigüedad; objeto antiguo valioso.","Antiquariato; oggetto antico di valore.","Antiguidade; objeto antigo valioso.","Антиквариат; ценный старинный предмет.","تحفة; شيء قديم ثمين.","प्राचीन वस्तु; मूल्यवान पुरानी चीज़।"
antiquity,"The ancient past.","古代; 古代の過去。","古代; 古代的过去。","Antiquité; le passé ancien.","Antike; die alte Vergangenheit.","Antigüedad; el pasado antiguo.","Antichità; il passato antico.","Antiguidade; o passado antigo.","Древность; древнее прошлое.","عصر قديم; الماضي القديم.","प्राचीनता; प्राचीन अतीत।"
