en	lang	example_translation
advance	hi	वैज्ञानिक प्रगति अक्सर अप्रत्याशित खोजों से आती है।
advance	ja	科学の進歩はしばしば予期しない発見から生まれます。
advance	zh	科学进步往往来自意想不到的发现。
advantage	de	Erfahrung in diesem Bereich zu haben verschaffte ihm einen klaren Vorteil gegenüber anderen Kandidaten.
advantage	fr	Avoir de l'expérience dans le domaine lui a donné un avantage clair sur les autres candidats.
advantage	es	Tener experiencia en el campo le dio una clara ventaja sobre otros candidatos.
advantage	it	Avere esperienza nel campo gli ha dato un chiaro vantaggio sugli altri candidati.
advantage	pt	Ter experiência na área lhe deu uma clara vantagem sobre outros candidatos.
advantage	ru	Наличие опыта в этой области дало ему явное преимущество перед другими кандидатами.
advantage	ar	إن امتلاك الخبرة في المجال منحه ميزة واضحة على المرشحين الآخرين.
advantage	hi	इस क्षेत्र में अनुभव होने ने उसे अन्य उम्मीदवारों पर स्पष्ट लाभ दिया।
advantage	ja	その分野での経験を持っていることが、他の候補者に対する明確な優位性を与えました。
advantage	zh	在该领域拥有经验使他比其他候选人具有明显优势。
adventure	de	Ihr Bergsteige-Abenteuer brachte sie auf unglaubliche Höhen.
adventure	fr	Leur aventure d'escalade les a menés à des hauteurs incroyables.
adventure	es	Su aventura de escalada en montaña los llevó a alturas increíbles.
adventure	it	La loro avventura di arrampicata li ha portati ad altezze incredibili.
adventure	pt	Sua aventura de escalada os levou a alturas incríveis.
adventure	ru	Их приключение по скалолазанию привело их на невероятные высоты.
adventure	ar	أخذتهم مغامرة تسلق الجبال إلى ارتفاعات لا تصدق.
adventure	hi	उनके पर्वतारोहण के साहसिक कार्य ने उन्हें अविश्वसनीय ऊंचाइयों तक पहुंचाया।
adventure	ja	彼らの登山の冒険は信じられない高さまで彼らを連れて行きました。
adventure	zh	他们的登山冒险把他们带到了令人难以置信的高度。
adversary	de	Deinen Gegner zu respektieren macht dich zu einem besseren Wettkämpfer.
adversary	fr	Respecter votre adversaire fait de vous un meilleur compétiteur.
adversary	es	Respetar a tu adversario te hace un mejor competidor.
adversary	it	Rispettare il tuo avversario ti rende un miglior competitore.
adversary	pt	Respeitar seu adversário faz de você um melhor competidor.
adversary	ru	Уважение к противнику делает вас лучшим соперником.
adversary	ar	احترام خصمك يجعلك منافساً أفضل.
adversary	hi	अपने प्रतिद्वंद्वी का सम्मान करना आपको एक बेहतर प्रतियोगी बनाता है।
adversary	ja	敵を尊重することで、より良い競技者になれます。
adversary	zh	尊重你的对手会让你成为更好的竞争者。
adversity	de	Sie zeigte große Stärke bei der Überwindung von Widrigkeiten in schweren Zeiten.
adversity	fr	Elle a montré une grande force en surmontant l'adversité pendant les moments difficiles.
adversity	es	Mostró gran fortaleza al superar la adversidad durante los tiempos difíciles.
adversity	it	Ha mostrato grande forza nel superare le avversità durante i momenti difficili.
adversity	pt	Ela mostrou grande força ao superar a adversidade durante tempos difíceis.
adversity	ru	Она проявила большую силу в преодолении трудностей в тяжелые времена.
adversity	ar	أظهرت قوة عظيمة في التغلب على المحن خلال الأوقات الصعبة.
adversity	hi	उसने कठिन समय में विपरीत परिस्थितियों पर काबू पाने में बड़ी ताकत दिखाई।
adversity	ja	彼女は困難な時期に逆境を乗り越える大きな強さを示しました。
adversity	zh	她在困难时期克服逆境时表现出了巨大的力量。
advertisement	de	Das Unternehmen startete eine neue Werbung.
advertisement	fr	L'entreprise a lancé une nouvelle publicité.
advertisement	es	La empresa lanzó un nuevo anuncio.
advertisement	it	L'azienda ha lanciato una nuova pubblicità.
advertisement	pt	A empresa lançou um novo anúncio.
advertisement	ru	Компания запустила новую рекламу.
advertisement	ar	أطلقت الشركة إعلاناً جديداً.
advertisement	hi	कंपनी ने एक नया विज्ञापन लॉन्च किया।
advertisement	ja	会社は新しい広告を立ち上げました。
advertisement	zh	公司推出了一个新广告。
advertiser	de	Große Werbetreibende verlagerten ihr Budget von TV zu sozialen Medien.
advertiser	fr	Les gros annonceurs ont transféré leur budget de la télévision vers les médias sociaux.
advertiser	es	Los grandes anunciantes trasladaron su presupuesto de TV a las redes sociales.
advertiser	it	I grandi inserzionisti hanno spostato il loro budget dalla TV ai social media.
advertiser	pt	Os grandes anunciantes transferiram seu orçamento da TV para as mídias sociais.
advertiser	ru	Крупные рекламодатели перенесли свой бюджет с телевидения на социальные сети.
advertiser	ar	نقل المعلنون الكبار ميزانيتهم من التلفزيون إلى وسائل التواصل الاجتماعي.
advertiser	hi	प्रमुख विज्ञापनदाताओं ने अपना बजट टीवी से सोशल मीडिया में स्थानांतरित कर दिया।
advertiser	ja	主要な広告主はテレビからソーシャルメディアに予算を移しました。
advertiser	zh	主要广告商将预算从电视转向了社交媒体。
advice	de	Sein weiser Rat half mir, die richtige Entscheidung für meine Karriere zu treffen.
advice	fr	Ses conseils avisés m'ont aidé à prendre la bonne décision pour ma carrière.
advice	es	Su sabio consejo me ayudó a tomar la decisión correcta sobre mi carrera.
advice	it	I suoi saggi consigli mi hanno aiutato a prendere la decisione giusta per la mia carriera.
advice	pt	Seu conselho sábio me ajudou a tomar a decisão certa sobre minha carreira.
advice	ru	Его мудрый совет помог мне принять правильное решение относительно карьеры.
advice	ar	ساعدتني نصيحته الحكيمة على اتخاذ القرار الصحيح بشأن مسيرتي المهنية.
advice	hi	उसकी बुद्धिमान सलाह ने मुझे अपने करियर के बारे में सही निर्णय लेने में मदद की।
advice	ja	彼の賢明なアドバイスは私のキャリアについて正しい決断をするのに役立ちました。
advice	zh	他明智的建议帮助我对职业生涯做出了正确的决定。
adviser	de	Präsidenten verlassen sich auf jeden Berater für spezialisierte Expertise.
adviser	fr	Les présidents comptent sur chaque conseiller pour une expertise spécialisée.
adviser	es	Los presidentes confían en cada asesor para obtener experiencia especializada.
adviser	it	I presidenti fanno affidamento su ogni consigliere per competenze specializzate.
adviser	pt	Os presidentes dependem de cada conselheiro para expertise especializada.
adviser	ru	Президенты полагаются на каждого советника в специализированной экспертизе.
adviser	ar	يعتمد الرؤساء على كل مستشار للحصول على خبرة متخصصة.
adviser	hi	राष्ट्रपति विशेषज्ञता के लिए हर सलाहकार पर भरोसा करते हैं।
adviser	ja	大統領は専門的な専門知識のために各顧問に頼っています。
adviser	zh	总统依靠每位顾问的专业知识。
advocacy	de	Ihr Einsatz für den Umweltschutz inspirierte viele Menschen zum Handeln.
advocacy	fr	Son plaidoyer pour la protection de l'environnement a inspiré de nombreuses personnes à agir.
advocacy	es	Su defensa de la protección ambiental inspiró a muchas personas a actuar.
advocacy	it	La sua difesa per la protezione ambientale ha ispirato molte persone ad agire.
advocacy	pt	Sua defesa da proteção ambiental inspirou muitas pessoas a agir.
advocacy	ru	Её защита окружающей среды вдохновила многих людей на действия.
advocacy	ar	ألهمت دعوتها لحماية البيئة العديد من الناس لاتخاذ إجراءات.
advocacy	hi	पर्यावरण संरक्षण के लिए उसकी वकालत ने कई लोगों को कार्रवाई करने के लिए प्रेरित किया।
advocacy	ja	環境保護に対する彼女の支持は多くの人々を行動に駆り立てました。
advocacy	zh	她对环境保护的倡导激励了许多人采取行动。
affair	de	Die diplomatische Angelegenheit erforderte sorgfältige internationale Verhandlungen.
affair	fr	L'affaire diplomatique a nécessité des négociations internationales minutieuses.
affair	es	El asunto diplomático requirió negociaciones internacionales cuidadosas.
affair	it	L'affare diplomatico ha richiesto negoziazioni internazionali attente.
affair	pt	O caso diplomático exigiu negociações internacionais cuidadosas.
affair	ru	Дипломатическое дело потребовало осторожных международных переговоров.
affair	ar	تطلبت القضية الدبلوماسية مفاوضات دولية دقيقة.
affair	hi	राजनयिक मामले में सावधान अंतर्राष्ट्रीय बातचीत की आवश्यकता थी।
affair	ja	外交問題は慎重な国際交渉を必要としました。
affair	zh	这个外交事务需要谨慎的国际谈判。
affection	de	Der Welpe zeigte echte Zuneigung für seine neue Familie.
affection	fr	Le chiot a montré une véritable affection pour sa nouvelle famille.
affection	es	El cachorro mostró afecto genuino por su nueva familia.
affection	it	Il cucciolo ha mostrato genuino affetto per la sua nuova famiglia.
affection	pt	O filhote mostrou afeto genuíno por sua nova família.
affection	ru	Щенок проявил искреннюю привязанность к своей новой семье.
affection	ar	أظهر الجرو عاطفة حقيقية تجاه عائلته الجديدة.
affection	hi	पिल्ले ने अपने नए परिवार के लिए सच्चा स्नेह दिखाया।
affection	ja	子犬は新しい家族に対して真の愛情を示しました。
affection	zh	小狗对它的新家庭表现出了真挚的感情。
affidavit	de	Der Zeuge unterschrieb eine eidesstattliche Erklärung, die bestätigte, was sie gesehen hatte.
affidavit	fr	Le témoin a signé un affidavit confirmant ce qu'elle avait vu.
affidavit	es	El testigo firmó una declaración jurada confirmando lo que había visto.
affidavit	it	Il testimone ha firmato un affidavit confermando quello che aveva visto.
affidavit	pt	A testemunha assinou um depoimento confirmando o que havia visto.
affidavit	ru	Свидетель подписал письменное показание под присягой, подтверждающее то, что она видела.
affidavit	ar	وقع الشاهد على إفادة خطية تؤكد ما رأته.
affidavit	hi	गवाह ने एक शपथ पत्र पर हस्ताक्षर किए जो उसने जो देखा था उसकी पुष्टि करता था।
affidavit	ja	証人は彼女が見たことを確認する宣誓供述書に署名しました。
affidavit	zh	证人签署了一份宣誓书，确认她所看到的事情。
affinity	de	Sie fühlte eine sofortige Verbundenheit mit dem Bergdorf.
affinity	fr	Elle a ressenti une affinité immédiate pour le village de montagne.
affinity	es	Sintió una afinidad inmediata por el pueblo de montaña.
affinity	it	Ha sentito un'affinità immediata per il villaggio di montagna.
affinity	pt	Ela sentiu uma afinidade imediata pelo vilarejo montanhoso.
affinity	ru	Она почувствовала немедленную близость к горной деревне.
affinity	ar	شعرت بألفة فورية مع القرية الجبلية.
affinity	hi	उसने पहाड़ी गांव के लिए तत्काल लगाव महसूस किया।
affinity	ja	彼女は山の村に対して即座に親しみを感じました。
affinity	zh	她对这个山村立即产生了亲切感。
aftercare	de	Nachsorge nach der Operation ist entscheidend für die Genesung des Patienten.
aftercare	fr	Les soins post-opératoires sont cruciaux pour la récupération du patient.
aftercare	es	La atención postoperatoria es crucial para la recuperación del paciente.
aftercare	it	L'assistenza post-operatoria è cruciale per il recupero del paziente.
aftercare	pt	O cuidado pós-operatório é crucial para a recuperação do paciente.
aftercare	ru	Послеоперационный уход имеет решающее значение для выздоровления пациента.
aftercare	ar	الرعاية اللاحقة للعملية أمر بالغ الأهمية لتعافي المريض.
aftercare	hi	सर्जरी के बाद देखभाल रोगी की रिकवरी के लिए महत्वपूर्ण है।
aftercare	ja	手術後のアフターケアは患者の回復にとって重要です。
aftercare	zh	术后护理对患者的康复至关重要。
afternoon	de	Wir planen, uns am Sonntagmittag im Park zu treffen.
afternoon	fr	Nous prévoyons de nous retrouver au parc dimanche après-midi.
afternoon	es	Planeamos reunirnos en el parque el domingo por la tarde.
afternoon	it	Abbiamo in programma di incontrarci al parco domenica pomeriggio.
afternoon	pt	Planejamos nos encontrar no parque no domingo à tarde.
afternoon	ru	Мы планируем встретиться в парке в воскресенье днем.
afternoon	ar	نحن نخطط للالتقاء في الحديقة بعد ظهر يوم الأحد.
afternoon	hi	हम रविवार की दोपहर में पार्क में मिलने की योजना बना रहे हैं।
afternoon	ja	私たちは日曜日の午後に公園で会う予定です。
afternoon	zh	我们计划在星期天下午在公园见面。
age	de	Sie erreichte das Alter, in dem Weisheit wichtiger wird als Schönheit.
age	fr	Elle a atteint l'âge où la sagesse devient plus importante que la beauté.
age	es	Llegó a la edad en que la sabiduría se vuelve más importante que la belleza.
age	it	Ha raggiunto l'età in cui la saggezza diventa più importante della bellezza.
age	pt	Ela chegou à idade em que a sabedoria se torna mais importante que a beleza.
age	ru	Она достигла возраста, когда мудрость становится важнее красоты.
age	ar	وصلت إلى العمر الذي تصبح فيه الحكمة أهم من الجمال.
age	hi	वह उस उम्र में पहुंच गई जहां बुद्धि सुंदरता से अधिक महत्वपूर्ण हो जाती है।
age	ja	彼女は知恵が美しさよりも重要になる年齢に達しました。
age	zh	她到了智慧比美貌更重要的年龄。
agency	de	Die Werbeagentur entwickelte eine kreative Kampagne für das neue Produkt.
agency	fr	L'agence de publicité a développé une campagne créative pour le nouveau produit.
agency	es	La agencia de publicidad desarrolló una campaña creativa para el nuevo producto.
agency	it	L'agenzia pubblicitaria ha sviluppato una campagna creativa per il nuovo prodotto.
agency	pt	A agência de publicidade desenvolveu uma campanha criativa para o novo produto.
agency	ru	Рекламное агентство разработало креативную кампанию для нового продукта.
agency	ar	طورت وكالة الإعلان حملة إبداعية للمنتج الجديد.
agency	hi	विज्ञापन एजेंसी ने नए उत्पाद के लिए एक रचनात्मक अभियान विकसित किया।
agency	ja	広告代理店は新製品のためのクリエイティブなキャンペーンを開発しました。
agency	zh	广告公司为新产品开发了一个创意活动。
agenda	de	Die Besprechungsagenda umfasste Budget, Personal und zukünftige Projekte.
agenda	fr	L'ordre du jour de la réunion comprenait le budget, le personnel et les projets futurs.
agenda	es	La agenda de la reunión incluía presupuesto, personal y proyectos futuros.
agenda	it	L'agenda della riunione includeva budget, personale e progetti futuri.
agenda	pt	A agenda da reunião incluía orçamento, pessoal e projetos futuros.
agenda	ru	Повестка дня встречи включала бюджет, персонал и будущие проекты.
agenda	ar	تضمنت أجندة الاجتماع الميزانية والموظفين والمشاريع المستقبلية.
agenda	hi	बैठक के एजेंडे में बजट, कर्मचारी और भविष्य की परियोजनाएं शामिल थीं।
agenda	ja	会議のアジェンダには予算、人事、将来のプロジェクトが含まれていました。
agenda	zh	会议议程包括预算、人事和未来项目。
agent	de	Der Immobilienmakler half der Familie, ihr Traumhaus zu finden.
agent	fr	L'agent immobilier a aidé la famille à trouver la maison de leurs rêves.
agent	es	El agente inmobiliario ayudó a la familia a encontrar la casa de sus sueños.
agent	it	L'agente immobiliare ha aiutato la famiglia a trovare la casa dei loro sogni.
agent	pt	O corretor de imóveis ajudou a família a encontrar a casa dos seus sonhos.
agent	ru	Агент по недвижимости помог семье найти дом их мечты.
agent	ar	ساعد وكيل العقارات العائلة في العثور على منزل أحلامهم.
agent	hi	रियल एस्टेट एजेंट ने परिवार को उनका सपनों का घर खोजने में मदद की।
agent	ja	不動産エージェントは家族が夢の家を見つけるのを手伝いました。
agent	zh	房地产经纪人帮助这个家庭找到了他们梦想中的房子。
aggregate	de	Das Gesamtergebnis aller Tests zeigt eine deutliche Verbesserung.
aggregate	fr	Le résultat agrégé de tous les tests montre une amélioration significative.
aggregate	es	El resultado agregado de todas las pruebas muestra una mejora significativa.
aggregate	it	Il risultato aggregato di tutti i test mostra un miglioramento significativo.
aggregate	pt	O resultado agregado de todos os testes mostra uma melhoria significativa.
aggregate	ru	Совокупный результат всех тестов показывает значительное улучшение.
aggregate	ar	تظهر النتيجة الإجمالية لجميع الاختبارات تحسناً كبيراً.
aggregate	hi	सभी परीक्षणों का संयुक्त परिणाम महत्वपूर्ण सुधार दिखाता है।
aggregate	ja	すべてのテストの総合結果は大幅な改善を示しています。
aggregate	zh	所有测试的汇总结果显示了显著的改善。
agitation	de	Seine Unruhe war offensichtlich, als er während der Rede hin und her ging.
agitation	fr	Son agitation était évidente alors qu'il faisait les cent pas pendant le discours.
agitation	es	Su agitación era evidente mientras caminaba de un lado a otro durante el discurso.
agitation	it	La sua agitazione era evidente mentre camminava avanti e indietro durante il discorso.
agitation	pt	Sua agitação era evidente enquanto caminhava de um lado para o outro durante o discurso.
agitation	ru	Его волнение было очевидно, когда он ходил взад и вперед во время речи.
agitation	ar	كان اضطرابه واضحاً وهو يسير ذهاباً وإياباً أثناء الخطاب.
agitation	hi	भाषण के दौरान उसकी बेचैनी स्पष्ट थी जब वह इधर-उधर टहल रहा था।
agitation	ja	スピーチ中に彼が行ったり来たりしている間、彼の動揺は明らかでした。
agitation	zh	在演讲期间他来回踱步时，他的焦虑很明显。
agony	de	Die Qualen des Wartens auf die Testergebnisse waren unerträglich.
agony	fr	L'agonie d'attendre les résultats des tests était insupportable.
agony	es	La agonía de esperar los resultados de las pruebas era insoportable.
agony	it	L'agonia di aspettare i risultati dei test era insopportabile.
agony	pt	A agonia de esperar os resultados dos testes era insuportável.
agony	ru	Агония ожидания результатов тестов была невыносимой.
agony	ar	كانت عذابات انتظار نتائج الاختبارات لا تُطاق.
agony	hi	टेस्ट के परिणामों की प्रतीक्षा की पीड़ा असहनीय थी।
agony	ja	テスト結果を待つ苦痛は耐え難いものでした。
agony	zh	等待测试结果的痛苦是难以忍受的。
agreement	de	Beide Parteien unterzeichneten die Vereinbarung nach monatelangen Verhandlungen.
agreement	fr	Les deux parties ont signé l'accord après des mois de négociations.
agreement	es	Ambas partes firmaron el acuerdo después de meses de negociaciones.
agreement	it	Entrambe le parti hanno firmato l'accordo dopo mesi di negoziazioni.
agreement	pt	Ambas as partes assinaram o acordo após meses de negociações.
agreement	ru	Обе стороны подписали соглашение после месяцев переговоров.
agreement	ar	وقع الطرفان على الاتفاقية بعد أشهر من المفاوضات.
agreement	hi	महीनों की बातचीत के बाद दोनों पक्षों ने समझौते पर हस्ताक्षर किए।
agreement	ja	両当事者は数ヶ月の交渉の後に合意に署名しました。
agreement	zh	经过数月的谈判，双方签署了协议。
agriculture	de	Die Landwirtschaft ist das Rückgrat der ländlichen Wirtschaft.
agriculture	fr	L'agriculture est l'épine dorsale de l'économie rurale.
agriculture	es	La agricultura es la columna vertebral de la economía rural.
agriculture	it	L'agricoltura è la spina dorsale dell'economia rurale.
agriculture	pt	A agricultura é a espinha dorsal da economia rural.
agriculture	ru	Сельское хозяйство является основой сельской экономики.
agriculture	ar	الزراعة هي العمود الفقري للاقتصاد الريفي.
agriculture	hi	कृषि ग्रामीण अर्थव्यवस्था की रीढ़ है।
agriculture	ja	農業は農村経済の基盤です。
agriculture	zh	农业是农村经济的支柱。
aid	de	Internationale Hilfe erreichte das von der Katastrophe betroffene Gebiet innerhalb von Tagen.
aid	fr	L'aide internationale a atteint la zone sinistrée en quelques jours.
aid	es	La ayuda internacional llegó al área afectada por el desastre en cuestión de días.
aid	it	Gli aiuti internazionali hanno raggiunto l'area colpita dal disastro in pochi giorni.
aid	pt	A ajuda internacional chegou à área afetada pelo desastre em questão de dias.
aid	ru	Международная помощь достигла пострадавшего от катастрофы района в течение нескольких дней.
aid	ar	وصلت المساعدات الدولية إلى المنطقة المنكوبة في غضون أيام.
aid	hi	अंतर्राष्ट्रीय सहायता आपदा प्रभावित क्षेत्र में दिनों के भीतर पहुंच गई।
aid	ja	国際援助は数日以内に災害被災地域に到達しました。
aid	zh	国际援助在几天内到达了灾区。
aide	de	Die Präsidenten-Assistentin trug wichtige Dokumente in ihrer Aktentasche.
aide	fr	L'assistante présidentielle portait des documents importants dans sa mallette.
aide	es	La asistente presidencial llevaba documentos importantes en su maletín.
aide	it	L'assistente presidenziale portava documenti importanti nella sua valigetta.
aide	pt	A assistente presidencial carregava documentos importantes em sua pasta.
aide	ru	Помощница президента несла важные документы в своём портфеле.
aide	ar	حملت مساعدة الرئيس وثائق مهمة في حقيبتها.
aide	hi	राष्ट्रपति की सहायक ने अपने ब्रीफकेस में महत्वपूर्ण दस्तावेज रखे थे।
aide	ja	大統領補佐官は重要な書類をブリーフケースに入れて持ち歩いていました。
aide	zh	总统助理在她的公文包里装着重要文件。
aim	de	Ihr Ziel war es, bis Ende des Jahres fließend Französisch zu sprechen.
aim	fr	Son objectif était de parler couramment français d'ici la fin de l'année.
aim	es	Su objetivo era hablar francés con fluidez para finales de año.
aim	it	Il suo obiettivo era parlare francese fluentemente entro la fine dell'anno.
aim	pt	Seu objetivo era falar francês fluentemente até o final do ano.
aim	ru	Её цель была свободно говорить по-французски к концу года.
aim	ar	كان هدفها أن تتحدث الفرنسية بطلاقة بحلول نهاية العام.
aim	hi	उसका लक्ष्य साल के अंत तक फ्रेंच में धाराप्रवाह बोलना था।
aim	ja	彼女の目標は年末までにフランス語を流暢に話すことでした。
aim	zh	她的目标是在年底前能流利地说法语。
air	de	Die frische Bergluft belebte die müden Wanderer.
air	fr	L'air frais de la montagne a revitalisé les randonneurs fatigués.
air	es	El aire fresco de la montaña revitalizó a los excursionistas cansados.
air	it	L'aria fresca di montagna ha rivitalizzato gli escursionisti stanchi.
air	pt	O ar fresco da montanha revitalizou os caminhantes cansados.
air	ru	Свежий горный воздух оживил уставших туристов.
air	ar	أنعش الهواء الجبلي النقي المتجولين المتعبين.
air	hi	ताजी पहाड़ी हवा ने थके हुए पैदल यात्रियों को पुनर्जीवित कर दिया।
air	ja	新鮮な山の空気が疲れたハイカーたちを元気づけました。
air	zh	新鲜的山间空气让疲惫的徒步旅行者重新振作起来。
airhead	de	Obwohl sie als Hohlkopf bezeichnet wurde, bewies sie allen das Gegenteil mit ihren brillanten Ideen.
airhead	fr	Bien qu'on l'ait traitée de tête de linotte, elle a prouvé le contraire à tout le monde avec ses idées brillantes.
airhead	es	A pesar de ser llamada cabeza hueca, demostró que todos estaban equivocados con sus ideas brillantes.
airhead	it	Nonostante fosse chiamata testa vuota, ha dimostrato a tutti il contrario con le sue idee brillanti.
airhead	pt	Apesar de ser chamada de cabeça oca, ela provou que todos estavam errados com suas ideias brilhantes.
airhead	ru	Несмотря на то, что её называли пустоголовой, она доказала всем обратное своими блестящими идеями.
airhead	ar	رغم أنها كانت تُوصف بأنها فارغة الرأس، أثبتت للجميع العكس بأفكارها الرائعة.
airhead	hi	खोखली दिमाग कहलाने के बावजूद भी, उसने अपने शानदार विचारों से सभी को गलत साबित कर दिया।
airhead	ja	おバカと呼ばれていたにもかかわらず、彼女は素晴らしいアイデアで皆の認識を改めさせました。
airhead	zh	尽管被称为脑子空空，她用自己的绝妙想法证明了大家都错了。
airport	de	Der Flughafen war wegen des dichten Nebels geschlossen.
airport	fr	L'aéroport était fermé à cause du brouillard dense.
airport	es	El aeropuerto estaba cerrado debido a la niebla densa.
airport	it	L'aeroporto era chiuso a causa della nebbia fitta.
airport	pt	O aeroporto estava fechado devido ao nevoeiro denso.
airport	ru	Аэропорт был закрыт из-за густого тумана.
airport	ar	كان المطار مغلقاً بسبب الضباب الكثيف.
airport	hi	घने कोहरे के कारण हवाई अड्डा बंद था।
airport	ja	濃い霧のため空港は閉鎖されていました。
airport	zh	由于浓雾，机场关闭了。
airway	de	Die kommerzielle Flugroute verbindet Großstädte über den ganzen Kontinent.
airway	fr	La voie aérienne commerciale relie les grandes villes à travers le continent.
airway	es	La aerovía comercial conecta las principales ciudades a través del continente.
airway	it	La rotta aerea commerciale collega le principali città attraverso il continente.
airway	pt	A rota aérea comercial conecta as principais cidades por todo o continente.
airway	ru	Коммерческая воздушная трасса соединяет крупные города по всему континенту.
airway	ar	يربط الطريق الجوي التجاري بين المدن الرئيسية عبر القارة.
airway	hi	वाणिज्यिक वायुमार्ग महाद्वीप भर के प्रमुख शहरों को जोड़ता है।
airway	ja	商業航空路は大陸全体の主要都市を結んでいます。
airway	zh	商业航线连接了整个大陆的主要城市。
alarm	de	Der Feueralarm ertönte um drei Uhr morgens und weckte alle Bewohner.
alarm	fr	L'alarme incendie a retenti à trois heures du matin, réveillant tous les résidents.
alarm	es	La alarma de incendios sonó a las tres de la mañana, despertando a todos los residentes.
alarm	it	L'allarme antincendio è suonato alle tre del mattino, svegliando tutti i residenti.
alarm	pt	O alarme de incêndio soou às três da manhã, acordando todos os moradores.
alarm	ru	Пожарная сигнализация прозвучала в три утра, разбудив всех жильцов.
alarm	ar	انطلق إنذار الحريق في الثالثة صباحاً، موقظاً جميع السكان.
alarm	hi	आग का अलार्म सुबह तीन बजे बजा, जिससे सभी निवासी जाग गए।
alarm	ja	火災報知器が朝3時に鳴り、すべての住民を起こしました。
alarm	zh	火警在凌晨三点响起，把所有居民都吵醒了。
alaska	de	Alaska ist der größte Staat der USA und bekannt für seine Wildnis.
alaska	fr	L'Alaska est le plus grand État des États-Unis, connu pour sa nature sauvage.
alaska	es	Alaska es el estado más grande de Estados Unidos, conocido por su naturaleza salvaje.
alaska	it	L'Alaska è lo stato più grande degli Stati Uniti, noto per la sua natura selvaggia.
alaska	pt	O Alasca é o maior estado dos Estados Unidos, conhecido por sua natureza selvagem.
alaska	ru	Аляска — самый большой штат США, известный своей дикой природой.
alaska	ar	ألاسكا هي أكبر ولاية في الولايات المتحدة، تشتهر بطبيعتها البرية.
alaska	hi	अलास्का संयुक्त राज्य अमेरिका का सबसे बड़ा राज्य है, जो अपनी जंगली प्रकृति के लिए प्रसिद्ध है।
alaska	ja	アラスカはアメリカ最大の州で、その野生の自然で知られています。
alaska	zh	阿拉斯加是美国最大的州，以其野生自然而闻名。
album	de	Ihr neues Album erreichte Platz eins in den Charts.
album	fr	Son nouvel album a atteint la première place des classements.
album	es	Su nuevo álbum alcanzó el primer lugar en las listas de éxitos.
album	it	Il suo nuovo album ha raggiunto il primo posto nelle classifiche.
album	pt	Seu novo álbum alcançou o primeiro lugar nas paradas.
album	ru	Её новый альбом достиг первого места в чартах.
album	ar	وصل ألبومها الجديد إلى المركز الأول في القوائم.
album	hi	उसका नया एल्बम चार्ट में पहले स्थान पर पहुंचा।
album	ja	彼女の新しいアルバムはチャートで1位に達しました。
album	zh	她的新专辑在排行榜上达到了第一名。
alcohol	de	Alkohol sollte verantwortungsvoll und in Maßen konsumiert werden.
alcohol	fr	L'alcool doit être consommé de manière responsable et avec modération.
alcohol	es	El alcohol debe consumirse de manera responsable y con moderación.
alcohol	it	L'alcol dovrebbe essere consumato responsabilmente e con moderazione.
alcohol	pt	O álcool deve ser consumido de forma responsável e com moderação.
alcohol	ru	Алкоголь следует употреблять ответственно и в умеренных количествах.
alcohol	ar	يجب استهلاك الكحول بمسؤولية وباعتدال.
alcohol	hi	शराब का सेवन जिम्मेदारी से और संयम के साथ करना चाहिए।
alcohol	ja	アルコールは責任を持って適度に摂取すべきです。
alcohol	zh	应该负责任地适量饮酒。
alcoholism	de	Alkoholismus ist eine ernste Krankheit, die professionelle Behandlung erfordert.
alcoholism	fr	L'alcoolisme est une maladie grave qui nécessite un traitement professionnel.
alcoholism	es	El alcoholismo es una enfermedad grave que requiere tratamiento profesional.
alcoholism	it	L'alcolismo è una malattia grave che richiede trattamento professionale.
alcoholism	pt	O alcoolismo é uma doença grave que requer tratamento profissional.
alcoholism	ru	Алкоголизм — это серьёзное заболевание, которое требует профессионального лечения.
alcoholism	ar	إدمان الكحول مرض خطير يتطلب علاجاً مهنياً.
alcoholism	hi	शराब की लत एक गंभीर बीमारी है जिसके लिए पेशेवर इलाज की जरूरत होती है।
alcoholism	ja	アルコール依存症は専門的な治療が必要な深刻な病気です。
alcoholism	zh	酒精中毒是一种严重的疾病，需要专业治疗。
alibi	de	Das Alibi des Verdächtigen wurde durch Sicherheitskamera-Aufnahmen bestätigt.
alibi	fr	L'alibi du suspect a été vérifié par les images de caméra de sécurité.
alibi	es	La coartada del sospechoso fue verificada por las imágenes de la cámara de seguridad.
alibi	it	L'alibi del sospetto è stato verificato dalle riprese delle telecamere di sicurezza.
alibi	pt	O álibi do suspeito foi verificado pelas imagens da câmera de segurança.
alibi	ru	Алиби подозреваемого было подтверждено записями камер видеонаблюдения.
alibi	ar	تم التحقق من حجة غياب المشتبه به من خلال لقطات كاميرا المراقبة.
alibi	hi	संदिग्ध की अलिबाई की पुष्टि सिक्योरिटी कैमरा फुटेज से हुई।
alibi	ja	容疑者のアリバイは防犯カメラの映像によって確認されました。
alibi	zh	嫌疑人的不在场证明通过安全摄像头的画面得到了验证。
alien	de	Der Science-Fiction-Film zeigte einen freundlichen Außerirdischen von einem anderen Planeten.
alien	fr	Le film de science-fiction mettait en scène un alien amical d'une autre planète.
alien	es	La película de ciencia ficción presentaba un alien amigable de otro planeta.
alien	it	Il film di fantascienza presentava un alieno amichevole di un altro pianeta.
alien	pt	O filme de ficção científica apresentava um alien amigável de outro planeta.
