en,meaning_en,example_en
conductor,Orchestra leader,
conference,Meeting,
confession,Admission of guilt or wrongdoing.,
confidence,Trust,
confinement,State of being confined,
conflict,Dispute,
confusion,Bewilderment,
conglomerate,Large corporation with diverse businesses.,
congratulation,Expression of joy for achievement.,
congregation,Group assembled for worship.,
congress,Assembly,
conjunction,Combination,
connection,Link,
conqueror,Person who conquers territory.,
conquest,Act of conquering,
conscience,Moral sense,
conscious,Aware and awake,
consciousness,Awareness,
conscription,Compulsory military service.,
consequence,Result,
consideration,Thought,
consignment,Goods sent to agent for sale.,
consistency,Uniformity,
consolation,Comfort received after loss.,
consortium,Association of organizations.,
conspiracy,Secret plan,
constable,Police officer of lowest rank.,
constellation,Group of stars forming pattern.,
constitution,Fundamental law,
constraint,Limitation,
construction,Building,
consulate,Diplomatic office,
consultancy,Advisory service,
consultation,Discussion,
consulting,Advisory services,
consumer,Buyer,
consumption,Use,
contact,Touch,
container,Box,
contamination,Pollution,
contempt,Scorn,
content,Material,
contention,Argument,
contest,Competition,
continent,Large landmass,
contingent,Group of people,
continuation,Act of continuing,
continuity,Unbroken sequence,
contour,Outline,
contract,Agreement,
contraction,Shrinking,
contractor,Builder,
contrary,Opposite,
contrast,Difference,
contribution,Donation,
control,Management,
controversy,Debate,
convenience,Ease,
convention,Meeting,
conversation,Talk,
converse,Opposite,
conversion,Change,
conveyance,Transportation,
conviction,Strong belief,
cook,Person who prepares food,
cookery,Art of cooking,
cookie,Biscuit,
cooking,Food preparation,
cool,Moderate cold,
cooperation,Working together,
coordinate,Position point,
cop,Police officer,
copper,Reddish-brown metallic element,
copy,Duplicate,
copyright,Exclusive legal right to publish and sell literary or artistic work.,
coral,hard skeleton of such organism.,
cord,Rope,
cordial,Sweet fruit-flavored drink,
core,Central part,
cork,Bark of cork oak used as stopper,
corn,Cereal grain,
corner,Angle,
corporal,Military rank,
corporation,Company,
corps,body of people.,
correction,Fixing error,
correlation,Mutual relationship,
correspondence,Letters,
correspondent,person who corresponds.,
corruption,Dishonesty,
cosmetic,Beauty product,
cosmos,Universe as ordered whole,
cost,Cost,
costume,Clothing,
cottage,Small house,
cotton,Fabric,
cough,Throat clearing,
council,Assembly,
counsel,Advice,
counseling,Giving advice,
count,Number,
countenance,Facial expression,
counter,Surface,
country,Country,
countryside,Rural areas,
county,District,
coup,Sudden takeover,
couple,Pair,
courage,Bravery,
courier,Messenger,
course,Class,
court,Legal system,
courtesy,Politeness,
courthouse,hall of justice.,
courtroom,hall of justice.,
courtship,Period of romantic pursuit,
cousin,Relative,
cover,Lid,
coverage,Extent covered,
cow,Cattle,
coward,one lacking courage,
crab,Sea creature with claws,
crack,Split,
cracker,Crisp biscuit,
cradle,Baby bed,
craft,Skill,
cram,Intensive study,
cramp,Muscle spasm,
crane,Lifting machine,
crap,Nonsense,
crash,Collision,
crawl,Slow movement on hands and knees.,
cream,Dairy,
creation,Making,
creator,Maker,
creature,Living being,
credit,Recognition,
creditor,Person owed money,
creed,System of religious belief.,
creek,Small stream,
creep,Slow stealthy movement,
crescent,Curved shape like moon,
crew,Team,
crib,Baby's bed with bars,
crime,Offense,
criterion,Standard,
critic,Judge,
criticism,Critique,
crocodile,Large reptile living in water.,
crop,Harvest,
cross,Intersection,
crossing,Place where paths intersect.,
crouch,Low position with bent knees.,
crow,Black bird,
crowd,Group,
crown,Royal headpiece,
cruelty,Willingness to cause pain,
cruise,Pleasure voyage,
crumb,Small piece of bread,
crunch,Crushing sound,
crusade,Vigorous campaign for cause.,
crush,Compression,
crust,Hard outer layer,
crutch,Support for walking,
crystal,Clear mineral,
cuckoo,Bird with distinctive call.,
cucumber,Green vegetable,
cuddle,Hold close affectionately,
cuff,End of sleeve,
cult,Religious group with extreme beliefs.,
cultivation,Preparation of land for crops.,
culture,Culture,
cup,Container,
cure,Remedy,
curfew,Order to remain indoors,
curiosity,Inquisitiveness,
curl,Curved or spiral shape,
currency,Money,
current,Flow,
curry,Spiced dish from Asia,
curse,Wish for harm,
curtain,Fabric hanging to cover window.,
custard,Sweet creamy dessert,
custody,Protective care,
custom,Traditional practice,
customer,Client,
cut,Cut,
cutback,Reduction in something,
cycling,Riding bicycle as sport,
dad,Father,
daffodil,Yellow spring flower,
dairy,Place where milk products made.,
daisy,White flower with yellow center.,
dam,Water barrier,
damage,Harm,
damn,Expression of anger,
dance,Movement,
dancer,Person who performs dance,
dandelion,Yellow weed flower,
danger,Risk,
dark,Darkness,
darling,A beloved person,
dart,Pointed missile,
dash,Run quickly,
date,Time,
daughter,Female child,
dawn,Daybreak,
day,Day,
daybreak,Time when day begins,
daylight,Light from sun during day,
daytime,Period of daylight,
daze,State of confusion,
dazzle,Blind with bright light,
dead,Deceased,
deadlock,Situation with no progress.,
deal,Agreement,
dealer,Seller,
dealership,Business selling products,
dealing,Business transaction,
death,Death,
debate,Discussion,
debt,Obligation,
debtor,Person who owes money,
decade,Ten years,
deceit,Act of deceiving,
december,Twelfth month of year,
decency,Behavior that is moral,
deception,Act of deceiving someone,
decision,Choice,
declaration,Statement,
decoration,Ornament,
decrease,Reduction,
decree,Official order with legal force.,
dedication,Commitment to task or purpose.,
deduction,Amount subtracted,
deep,Depth,
deer,Wild animal,
default,Failure to meet obligation.,
defeat,Loss,
defect,Fault or imperfection,
defendant,Person accused in court,
defense,Protection,
deficiency,Lack of something needed,
deficit,Shortage,
definition,Meaning,
deflation,Reduction in prices,
degree,Level,
deity,Divine being,
delay,Postponement,
delegate,Representative with authority.,
delegation,Group of representatives,
delicacy,Fine or luxurious food,
delicious,Very pleasant taste,
delight,Feeling of great pleasure,
delivery,Transport,
delta,Triangular area where river meets sea.,
deluge,Heavy rainfall,
demand,Request,
democracy,Government by people,
demonstration,Protest,
denial,Refusal to admit truth,
denim,Strong cotton fabric for jeans.,
denomination,value of currency.,
density,Degree of compactness,
dentist,Tooth doctor,
department,Division,
departure,Leaving,
dependency,State of relying on another.,
deportation,Expulsion from country,
deposit,Money in bank,
deposition,Sworn testimony given in court.,
depreciation,Decrease in value over time.,
depression,Sadness,
depth,Deepness,
deputy,Person appointed as substitute.,
deregulation,Removal of government restrictions.,
descent,Downward movement,
description,Account,
desert,Dry sandy region,
design,Plan,
designation,Name or title given,
designer,Person who creates designs.,
desire,Want,
desk,Table,
despair,Complete loss of hope,
dessert,Sweet course at end of meal.,
destiny,Predetermined course of events.,
destruction,Ruin,
detachment,State of being detached,
detail,Specifics,
detective,Person who investigates crimes.,
determination,Resolve,
devaluation,Reduction in currency value.,
developer,Person who develops property.,
development,Growth,
devil,Evil supernatural being,
devotion,"Love, loyalty, or enthusiasm.",
dew,Water droplets formed at night.,
diabetes,Disease affecting blood sugar.,
diagnosis,Identification,
dial,Face of clock,
diamond,Gem,
diaper,Absorbent garment for baby.,
diary,Journal,
dice,Small cubes for games,
dictation,Speaking words to be written.,
dictatorship,Government by absolute ruler.,
dictionary,Reference book,
die,Cube for games,
diet,Food regularly consumed,
difference,Distinction,
difficulty,Problem,
diffraction,Bending of waves around obstacles.,
dig,Excavate earth,
digestion,Process of breaking down food.,
dignity,Quality of being worthy of respect.,
dime,A ten-cent coin,
dining,The act of eating a meal,
dinner,Meal,
dinosaur,Extinct giant reptile,
dip,Brief downward movement,
diploma,Certificate of graduation,
diplomacy,Management of international relations.,
diplomat,Official representing country.,
direction,Way,
director,Manager,
disability,Impairment,
disadvantage,Unfavorable condition,
disagreement,Difference of opinion,
disappointment,Letdown,
disapproval,Negative judgment,
disarmament,Reduction of weapons,
disaster,Catastrophe,
discard,Throwing away,
discharge,Release,
discipline,Control,
disclosure,Revelation,
disco,Dance club,
discomfort,Unease,
discord,Disagreement,
discount,Price reduction,
discouragement,Loss of confidence,
discourse,Conversation,
discovery,Finding,
discredit,Loss of reputation,
discrimination,Unfair treatment,
discussion,Talk,
disease,Illness,
disgrace,Shame,
disgust,Strong dislike,
dish,Plate,
dishonor,Shame,
disk,Disc,
dismissal,Firing from job,
disorder,Confusion,
dispatch,Sending,
displacement,Movement,
display,Show,
disposal,Getting rid of,
disposition,Arrangement,
dispute,Argument,
dissatisfaction,Discontent,
dissolution,Dissolving,
distance,Space,
distinction,Difference,
distortion,Deformation,
distraction,Diversion,
distress,Suffering,
distribution,Delivery,
distributor,Dealer,
district,Area,
disturbance,Disruption,
ditch,Trench,
diversion,Entertainment,
diversity,Variety,
dividend,Profit share,
divinity,Godhood,
division,Separation,
divorce,Marriage dissolution,
dock,Wharf,
doctor,person with doctorate.,
doctrine,Teaching,
dog,Canine,
dogma,Doctrine,
doll,Toy figure,
dollar,Currency,
dolphin,Marine mammal,
domain,Territory,
domestic,Household worker,
domination,Control,
dominion,Control,
don,Spanish title,
donation,Gift,
donkey,Small horse-like animal,
donut,Ring-shaped cake,
doom,Fate,
door,Entrance,
doorway,Entrance,
dope,Drug,
dork,Socially awkward person,
dormitory,Residence hall,
dose,Amount of medicine,
doubt,Uncertainty,
downtown,City center,
dozen,group of twelve,
draft,Preliminary,
dragon,Mythical creature,
drama,Play,
drawing,Picture,
dream,Sleep vision,
dress,Clothing,
drill,practice exercise,
drink,Beverage,
drive,Drive,
driver,Operator,
drop,Fall,
drug,Medicine,
drugstore,Pharmacy,
drum,Musical instrument,
duck,Water bird,
duckling,Young duck,
duke,Nobleman,
dump,act of dumping.,
dumpling,Small ball of dough,
duration,Length of time,
dust,Particles,
duty,Obligation,
dynamics,Forces,
dynasty,succession of rulers,
eagle,Large bird of prey,
ear,Hearing organ,
earth,Planet,
earthquake,Ground shaking,
east,Direction,
echo,Reflected sound,
economics,Financial study,
economy,Financial system,
edge,Border,
editor,Person who edits,
education,Learning,
eel,Snake-like fish,
effect,Result,
effort,Attempt,
egg,Oval reproductive body,
ego,Self,
elbow,Arm joint,
election,Voting,
electricity,Electrical power,
electronics,Electronic devices,
element,Component,
elephant,Large mammal,
elevator,Lift,
emotion,Feeling,
emperor,Supreme ruler,
emphasis,Stress,
empire,Large territory,
employee,Worker,
employer,Boss,
employment,Work,
end,End,
ending,Conclusion,
endowment,Natural ability,
endurance,Ability to withstand hardship.,
enemy,Foe,
energy,Power,
enforcement,Act of ensuring compliance.,
engagement,Commitment,
engineer,Technical expert,
england,Country in Britain,
english,Language of England,
enjoyment,Pleasure,
enlargement,Process of making bigger,
enlightenment,Spiritual insight,
enrollment,Act of registering,
ensemble,Group performing together,
entail,Involve as necessary consequence.,
enterprise,Business,
entertainment,Amusement,
enthusiasm,Eagerness,
entity,Being,
entrance,Entry,
entry,Entrance,
environment,Surroundings,
envy,Resentful longing for others.,
enzyme,Protein that catalyzes reactions.,
epidemic,Widespread occurrence of disease.,
episode,Event,
epoch,Distinctive period in history.,
equality,Fairness,
equation,Mathematical formula,
equator,Imaginary line around Earth.,
equipment,Tools,
equity,Fairness,
eraser,Tool for removing marks,
erection,Building construction,
error,Mistake,
eruption,Sudden violent emission,
escape,Flight,
escort,Person accompanying another.,
essence,Intrinsic nature,
establishment,Institution,
estate,Property,
esteem,Respect and admiration,
estimate,Approximation,
estimation,Process of estimating,
eternal,Lasting forever,
eternity,Infinite time,
ethic,Moral principle,
etiquette,Conventional rules of behavior.,
euphemism,Mild expression for harsh reality.,
euro,European currency,
europe,Continent north of Africa,
evacuation,Removal from dangerous place.,
eve,Evening before,
evening,Night time,
event,Happening,
evergreen,Plant keeping leaves year-round.,
everlasting,Lasting forever,
evidence,Proof,
evil,Profound immorality,
evolution,Development,
ex,A former romantic partner,
exaggeration,Overstatement of fact,
exam,Test,
examination,Test,
example,Sample,
exception,Exclusion,
excess,Amount beyond normal,
exchange,Trade,
excitement,Thrill,
exclamation,Sudden cry expressing emotion.,
excursion,Short journey for pleasure.,
excuse,Reason,
execution,Carrying out,
executive,Manager,
exemption,Process of being freed,
exercise,Physical activity,
exertion,Physical or mental effort,
exhaust,Waste gases from engine,
exhibition,Display,
exile,State of being banished,
existence,Being,
exodus,large-scale migration or evacuation of people.,
expanse,Wide continuous area,
expansion,Growth,
expectation,Anticipation,
expedition,Journey,
expenditure,Act of spending money,
expense,Cost,
experience,Knowledge from practice,
experiment,Test,
expert,Specialist,
explanation,Clarification,
explosion,Blast,
export,Sending abroad,
exposition,Comprehensive description,
exposure,State of being exposed,
express,state clearly.,
expression,Phrase,
extension,Lengthening,
extent,Degree,
exterior,Outside,
external,Belonging to outside,
extinction,End of species existence,
extract,Concentrated essence,
extraction,Action of extracting,
extravagance,Lack of restraint in spending.,
extreme,Farthest point,
extremist,Person holding extreme views.,
eye,Organ of sight,
fable,Story with moral lesson,
fabric,Cloth material,
face,Front,
facility,Building,
facing,Outer layer of material,
facsimile,An exact reproduction,
fact,Truth,
faction,Small organized dissenting group.,
factor,Element,
factory,Manufacturing plant,
failure,Lack of success,
fair,Treating people equally,
fairness,Justice,
fairy,Small supernatural being,
faith,Belief,
fake,Thing that is not genuine,
falcon,A bird of prey with sharp talons,
fall,Autumn,
falsehood,State of being false,
fame,Renown,
familiarity,Close acquaintance,
family,Family,
famine,Extreme shortage of food,
fan,Cooling device,
fancy,Imagination,
fantasy,Imagination,
fare,Ticket price,
farewell,The act of parting,
farm,Agricultural land,
farmer,Agriculturist,
farmhand,A worker employed on a farm,
farmhouse,Main house on farm,
farming,Practice of agriculture,
farmland,Land used for farming,
fascination,State of being fascinated,
fascism,Authoritarian political system.,
fashion,Style,
fat,Body tissue,
fatality,Death from accident or disease.,
fate,Development of events beyond control.,
father,Male parent,
fatigue,Extreme tiredness,
fault,Defect,
favor,Kindness,
favorite,Preferred choice,
fear,Fright,
feast,Large elaborate meal,
feather,Structure covering bird,
feature,Characteristic,
february,Second month of year,
federation,Group of states united,
fee,Charge,
feed,Food for animals,
feedback,Response,
feel,Physical sensation,
feeling,Emotion,
fellow,Person,
fellowship,Friendly association,
felony,A serious crime,
feminine,Having qualities of woman,
fence,Barrier,
ferment,Chemical breakdown by bacteria.,
fern,Flowerless plant with fronds.,
fertilizer,Substance for plant growth.,
festival,Celebration,
festivity,Celebration activities,
fever,High temperature,
fiber,Thread,
fiction,Imaginary story,
fidelity,Faithfulness to commitments.,
field,area of study,
fifteen,The number fifteen,
fifteenth,Ordinal number 15th,
fifth,Ordinal number 5th,
fiftieth,Ordinal number 50th,
fifty,The number fifty,
fig,Sweet soft fruit,
fight,Combat,
fighter,Person who fights,
figure,Number,
fill,To make something completely full,
film,Movie,
finance,Money management,
fine,Penalty,
finger,Hand digit,
finish,Finish,
fir,Evergreen coniferous tree,
fire,Flame,
firework,Explosive device for display.,
firm,Company,
first,Beginning,
fish,Aquatic animal,
fishery,Place for catching fish,
fishing,Activity of catching fish,
fist,A clenched hand,
fit,Good condition,
fitness,Physical condition,
five,The number five,
fix,Fix,
flag,Piece of fabric as symbol,
flair,Natural ability,
flame,Fire,
flap,Piece attached on one side.,
flare,Sudden burst of flame,
flash,Quick light,
flat,Apartment,
flavor,Taste,
flavoring,Substance used to give flavor.,
flea,Small jumping insect,
flesh,Meat,
flextime,Flexible working hours,
flick,Sudden quick movement,
flicker,Shine unsteadily,
flight,Flying,
fling,Throw forcefully,
flint,a mineral for ignition.,
flock,A group of birds flying or feeding together,
flood,Overflow of water,
floor,Ground level,
flop,Fall heavily,
flour,Powder made from grain,
flow,Movement,
flower,Plant bloom,
fluid,Substance that flows,
flurry,Sudden commotion,
flush,Sudden flow,
flute,Wind musical instrument,
flutter,Move lightly and quickly,
flux,Continuous change,
fly,Winged insect,
focus,Concentration,
fodder,Food for livestock,
fog,Thick cloud near ground,
foil,Thin metal sheet,
fold,Bend over part of,
folk,People,
folly,Foolish act or behavior,
fool,Person lacking judgment,
foot,Body part,
football,Sport played with ball,
force,Power,
fore,Front part,
forefront,Leading position,
foreground,Part nearest observer,
forehead,Part of face above eyebrows.,
foreigner,Person from another country.,
foresight,Ability to predict future,
forest,Woods,
fork,Pronged utensil for eating.,
form,Shape,
formality,Formal procedure,
formation,Creation,
formula,Mathematical relationship,
formulation,Action of formulating,
fort,Fortified building,
forth,Forward direction,
fortieth,Ordinal number 40th,
fortune,Wealth,
forty,The number forty,
fossil,Remains of ancient organism.,
foster,Encourage development of,
foul,Violation,
foundation,Base,
four,The number four,
fourteen,The number fourteen,
fourteenth,Ordinal number 14th,
fourth,Ordinal number 4th,
fowl,Domesticated bird,
fox,Carnivorous mammal,
fraction,Numerical quantity less than whole.,
fracture,A crack or break,
frame,Border,
franchise,Right to vote,
frank,Honest person,
fraternity,Brotherhood,
fraud,Wrongful deception for gain.,
fray,Unravel at edge,
freak,Very unusual person or thing.,
freebie,Thing given free of charge.,
freedom,Liberty,
freeze,Freezing,
freight,Goods transported by truck or ship.,
french,Language of France,
frequency,Rate,
fret,Be constantly worried,
friday,Sixth day of week,
friend,Friend,
friendship,Companionship,
fright,Sudden intense fear,
frill,Decorative edging,
front,Forward part,
fruit,Plant product,
fuel,Energy source,
fun,Enjoyment,
fund,Money pool,
funeral,Burial ceremony,
future,Future,
gain,Profit,
game,Sport,
garage,Car shelter,
garden,Yard,
gas,Fuel,
gate,Entrance,
gear,Equipment,
gender,Sex,
generation,Age group,
gift,Present,
girl,Female child,
glass,Transparent material,
goal,Objective,
god,Deity,
gold,Precious metal,
golf,Sport,
government,Ruling body,
grade,Level,
grandfather,Male grandparent,
grandmother,Female grandparent,
grant,Funding,
grass,Lawn,
ground,Earth,
group,Collection,
growth,Increase,
guard,Protector,
guess,Estimate,
guest,Visitor,
guide,Leader,
guilt,Responsibility for wrongdoing,
habit,Custom,
hair,Head covering,
half,Fifty percent,
hall,Corridor,
hand,Body part,
handle,Grip,
happiness,Joy,
harm,Damage,
hat,Head covering,
hate,Intense dislike,
head,Skull,
health,Health,
hearing,Sense,
heart,Organ,
heat,Warmth,
heaven,Paradise,
height,Tallness,
hell,Underworld,
help,Assistance,
hero,Brave person,
hill,Elevated land,
hint,Clue,
history,History,
hobby,Pastime,
hold,Grip,
hole,Opening,
holiday,Vacation,
home,Home,
honey,Bee product,
honor,Respect,
hope,Expectation,
horror,Terror,
horse,Animal,
hospital,Medical facility,
host,Presenter,
hotel,Accommodation,
hour,Hour,
house,House,
housing,Accommodation,
human,Person,
humor,Comedy,
hunger,Appetite,
hunt,Chase,
hurt,Pain,
husband,Married man,
ice,Frozen water,
idea,Thought,
identity,Who someone is,
ideology,Belief system,
illness,Sickness,
imagination,Creativity,
impact,Effect,
implication,Consequence,
import,Bringing in,
importance,Significance,
impression,Feeling,
improvement,Enhancement,
inch,Measurement,
income,Earnings,
increase,Growth,
independence,Freedom,
indication,Sign,
individual,Person,
industry,Manufacturing,
infection,Contamination,
inflation,Price increase,
influence,Effect,
information,Data,
initiative,Leadership,
injury,Harm,
innovation,Invention,
inquiry,Investigation,
insect,Bug,
inspiration,Motivation,
installation,Setting up,
instance,Example,
institution,Organization,
instruction,Teaching,
insurance,Protection,
intelligence,Smartness,
intention,Purpose,
interest,Curiosity,
interior,Inside,
interpretation,Explanation,
interview,Meeting,
introduction,Beginning,
invasion,Attack,
investment,Funding,
invitation,Request to come,
involvement,Participation,
iron,Metal,
island,Land surrounded by water,
issue,Problem,
italy,A European country on the Italian Peninsula,
itch,Uncomfortable skin sensation causing desire to scratch.,
ivory,Hard white material from elephant tusks,
ivy,Ivy League universities,
jack,A lifting device,
jacket,Coat,
jail,Prison,
jam,A sweet spread made from fruit and sugar.,
january,"The first month of the year in the Gregorian calendar, having 31 days.",
japan,Island country in East Asia,
japanese,A person from Japan,
jar,A wide-mouthed glass container for storing food.,
jaw,the mouth.,
jazz,Music style,
jealousy,Resentment against someone due to their success or advantages.,
jeans,"Casual trousers made of denim fabric, blue.",
jelly,"A soft, sweet food made from fruit juice and gelatin.",
jellyfish,Marine animal with transparent body and stinging tentacles.,
jerk,A sudden sharp movement,
jesus,Central figure of Christianity,
jewel,A precious stone or an object made with precious stones.,
jewelry,Decorative worn objects,
job,Work,
jock,"An athlete, one who participates in team sports.",
jogging,"The activity of running at a steady, gentle pace as a form of exercise.",
john,A common male first name,
jolly,"Happy, cheerful, and full of good humor.",
jot,A very small amount,
journal,Diary,
journalism,The profession of writing for newspapers and news media.,
journalist,Person writing news stories for newspapers and broadcasts.,
journey,Trip,
joy,Happiness,
judge,Court official,
judgement,The ability to make decisions,
judgment,Decision,
judiciary,The system of courts and judges,
jug,Container with handle and spout for liquids,
juice,Fruit liquid,
july,"The seventh month of the year in the Gregorian calendar, having 31 days.",
jump,Leap,
jumper,A knitted garment for upper body,
junction,"A place where roads, railway lines, or other routes meet.",
june,"The sixth month of the year in the Gregorian calendar, having 30 days.",
jungle,A tropical forest with dense vegetation,
junior,"Lower in rank, age, or position.",
jupiter,The largest planet in our solar system,
jurisdiction,The official power to make legal decisions and judgments.,
juror,A member of a jury who helps decide court cases based on evidence presented.,
jury,Court panel,
justice,Fairness,
key,Opener,
kick,Strike with foot,
kid,Child,
kill,Murder,
kind,Type,
king,Monarch,
kitchen,food preparation,
knee,Leg joint,
knife,Cutting tool,
labor,Work,
lack,Absence,
lady,Woman,
lake,Body of water,
land,Ground,
lane,A narrow road,
language,Speech,
lap,Thigh area,
lash,A hair growing from the edge of an eyelid.,
last,End,
latest,News,
latin,The ancient language of Rome.,
latitude,The angular distance north or south from the equator.,
laugh,Laughter,
launch,To start something,
laundry,the process of washing clothes.,
laurel,An aromatic evergreen tree or shrub with glossy leaves.,
lavender,A fragrant purple flowering plant,
law,Rule,
lawsuit,A legal action or case brought to court for resolution.,
lawyer,Attorney,
layoff,Dismissal of employees due to economic reasons.,
layout,The arrangement or design of elements in space.,
lead,Guidance,
leader,Guide,
leadership,Guidance,
leaf,Plant part,
leak,An unintended hole allowing liquid to escape.,
lean,Having little fat,
lease,A rental contract for property use,
leather,Animal skin material,
leave,Permission to be absent from work or duty.,
lecture,An educational talk given to students.,
ledge,A narrow horizontal shelf or projection from a wall or cliff.,
left,Side,
leftover,Food remaining after a meal.,
leg,Limb,
legality,The state of being in accordance with the law.,
legalization,Process of making illegal things legal,
legend,A traditional story,
legion,A large military unit in ancient Rome.,
legislation,Laws collectively or the process of making laws.,
leisure,Free time when one is not working or occupied.,
lemon,A yellow citrus fruit with sour juice.,
lemonade,"A sweet drink made from lemon juice, water, and sugar.",
leopard,Large spotted wild cat from Africa and Asia,
lesson,Teaching,
letter,Alphabet character,
lettuce,A leafy green vegetable used in salads.,
level,Height,
liability,something causing problems,
liaison,a close relationship,
liar,A person who tells lies,
liberalization,The process of making laws less strict,
library,Book collection,
license,Permit,
lie,Falsehood,
life,Life,
lift,Elevation,
light,Light,
limit,Boundary,
line,Row,
link,Connection,
list,Catalog,
literature,Written works,
loan,Borrowed money,
location,Place,
lock,Fastener,
london,The capital city of England and the United Kingdom.,
longevity,Long life or the length of life.,
look,Appearance,
lookout,A person who watches for danger.,
loom,A machine for weaving fabric.,
loophole,A gap or ambiguity in a law or rule that allows evasion.,
lord,A man of high rank or authority.,
loser,A person or thing that loses or fails.,
loss,Losing,
lot,Much,
lottery,A game of chance where people buy tickets to win prizes.,
lotus,A large water lily with symbolic meaning in many cultures.,
lounge,A sitting room with comfortable chairs.,
love,Affection,
lover,A person who loves someone romantically.,
low,Lowness,
lower,Comparative form of low,
loyalty,The quality of being faithful and devoted.,
luck,Fortune,
luggage,Suitcases and bags containing personal belongings for travel.,
lull,A temporary period of quiet or reduced activity.,
lumber,Wood that has been processed for construction.,
lump,A compact mass of matter,
lunch,Midday meal,
lunchtime,The time of day when lunch is eaten.,
lung,Either of the two organs in the chest that allow breathing.,
lure,Something that attracts or tempts.,
luxury,Expensive and comfortable living.,
lynx,A medium-sized wild cat with tufted ears and a short tail.,
lyric,The words of a song,
machine,Device,
macroeconomics,Economics dealing with large-scale factors,
mad,Mentally ill or insane,
madam,A polite form of address for a woman.,
madness,The state of being mad or mentally ill.,
magazine,Periodical,
magic,Sorcery,
magician,A person who performs magic tricks for entertainment.,
magistrate,A civil officer with limited judicial authority.,
magnesium,Light metal element burning with bright white flame,
magnet,An object that attracts iron and other metals.,
magnetism,The force that attracts magnetic materials.,
magnolia,"A tree or shrub with large, fragrant flowers.",
maid,A female domestic servant,
mail,Post,
main,The most important,
mainstream,"The dominant trend in opinion, fashion, or culture.",
majesty,Impressive dignity or grandeur.,
major,Important,
majority,Most,
mall,Shopping center,
man,Man,
management,Administration,
manager,Supervisor,
manner,Way,
map,Chart,
march,Walking,
mark,Sign,
market,Marketplace,
marriage,Wedding,
match,Competition,
material,Substance,
matter,Substance,
may,The fifth month of the year.,
mayor,The elected head of a city or town government.,
maze,A complex network of paths designed to confuse.,
meadow,A piece of grassland used for hay or grazing,
meal,Food,
meaning,Significance,
means,Method,
meantime,The period of time between two events,
measure,Measurement,
measurement,The action of measuring something.,
meat,Flesh,
mechanics,The branch of physics dealing with motion and forces.,
medal,A piece of metal awarded as a prize.,
media,Communication channels,
mediation,Intervening to resolve disputes,
medic,A person trained in medical work.,
medication,A drug or medicine used to treat illness,
medicine,Drug,
meditation,The practice of focusing the mind for spiritual purposes.,
meeting,Gathering,
melody,A sequence of musical notes forming the main tune.,
melon,A large sweet fruit with thick skin and juicy flesh.,
member,Participant,
membership,Belonging,
membrane,A thin layer of tissue that covers or lines organs.,
memorandum,A written message used for internal communication.,
memorial,Monument preserving memory of person or event,
memory,Recollection,
menace,A person or thing that threatens harm.,
mentality,A particular way of thinking.,
mention,Reference,
mentor,An experienced person who guides and teaches someone.,
menu,Food list,
merchandise,Goods for sale,
merchant,A person who buys and sells goods in large quantities.,
mercury,A liquid metallic element,
mercy,Compassion shown to someone in distress.,
merger,The combination of two or more companies into one.,
merit,The quality of deserving praise or reward.,
merlion,A mythical creature with a lion's head and fish body.,
mesh,A material made of network of threads or wires.,
mess,A dirty or untidy state,
messenger,A person who carries messages,
metal,"A hard, shiny material that conducts heat and electricity.",
meteor,Space rock burning in atmosphere,
meter,A unit of length equal to 100 centimeters.,
method,Way,
metropolis,A large important city,
mexico,A North American country south of the United States.,
middle,Center,
milk,Dairy liquid,
mind,Brain,
minor,Small,
minute,Minute,
mirror,Reflection,
miss,Failure to hit,
mistake,Error,
mix,Combination,
mixture,A combination of different substances or elements.,
moai,Large stone statues found on Easter Island.,
moan,"A long, low sound expressing pain or pleasure",
mob,A large crowd of people,
mobile,a cellular phone.,
mockery,Ridicule or contemptuous behavior.,
model,Example,
moderation,The quality of being moderate.,
modernism,A movement in arts and literature emphasizing new forms.,
modesty,The quality of being unassuming about one's abilities.,
molecule,The smallest unit of a chemical compound.,
mom,Mother,
moment,Instant,
momentum,The force gained by movement.,
monarchy,Government with a monarch as head of state.,
monday,The first day of the working week.,
money,Money,
monk,A man who has devoted his life to religious service.,
monkey,A primate with long limbs and tail.,
monologue,A long speech by one person.,
monopoly,Exclusive control of a market by one company.,
monotone,A single unvarying tone,
monster,"A large, frightening imaginary creature.",
montana,A state in the northwestern United States.,
montmartre,Historic Paris district known for artists and Sacr?-C?ur.,
monument,A structure built to commemorate a person or event.,
mood,Feeling,
moon,Natural satellite of Earth.,
moonlight,The light reflected from the moon.,
mop,A tool for cleaning floors with absorbent material.,
moral,Relating to principles of right and wrong.,
morality,Principles concerning right and wrong behavior.,
morning,AM,
mortality,The condition of being mortal,
mortgage,House loan,
mosaic,A picture made from small colored pieces.,
mosque,A Muslim place of worship,
moss,Small green plants that grow in damp places.,
moth,A nocturnal insect similar to a butterfly.,
mother,Female parent,
motion,Movement,
motivation,Drive,
mount,a horse for riding.,
mountain,High land,
mouse,Small animal,
mouth,Oral opening,
mouthful,As much as the mouth can hold.,
movement,Motion,
movie,Film,
mr,A title used before a man's surname.,
mrs,A title used before a married woman's surname.,
murder,Killing,
muscle,Body tissue,
music,Music,
nail,Fastener,
name,Title,
nation,Country,
nature,Natural world,
neck,Body part,
need,Requirement,
